n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,3,"['z', 'x', 'x', 'x']",0.005,m1,100000,68680,0,0,0,0.6868,0.0,4.519126980998408,-0.09030067799903918
4,x,4,"['x', 'z', 'x', 'x']",0.01,m1,100000,34772,164,320,0,0.34772,0.004716438513746701,16.595276344000013,29.72234800899969
4,x,4,"['x', 'z', 'x', 'x']",0.005,m1,100000,59006,70,133,0,0.59006,0.0011863200352506542,43.03348246300084,-9.522176365000632
4,x,5,"['z', 'z', 'x', 'x']",0.01,m1,100000,70247,2,3,0,0.70247,2.8470966731641845e-05,12.337025344997528,-2.845083098000032
4,x,5,"['z', 'z', 'x', 'x']",0.005,m1,100000,83609,0,0,0,0.83609,0.0,6.918629617000988,1.0626536809977551
4,x,6,"['x', 'x', 'z', 'x']",0.01,m1,100000,34649,288,553,0,0.34649,0.008311928194175922,46.342815943997266,6.748276740003348
4,x,6,"['x', 'x', 'z', 'x']",0.005,m1,100000,58641,108,213,0,0.58641,0.0018417148411521422,47.93932064300316,-4.362703851002152
4,x,7,"['z', 'x', 'z', 'x']",0.01,m1,100000,53614,849,1584,0,0.53614,0.01583541612265449,18.594415573999868,7.747186546999728
4,x,7,"['z', 'x', 'z', 'x']",0.005,m1,100000,72426,284,557,0,0.72426,0.003921243752243675,46.580146871998295,9.41555686600259
4,x,8,"['x', 'z', 'z', 'x']",0.01,m1,100000,41785,7247,13752,0,0.41785,0.17343544334091177,17.43937792700308,3.233090588997584
4,x,8,"['x', 'z', 'z', 'x']",0.005,m1,100000,62992,5328,10349,0,0.62992,0.08458216916433836,52.36585108200234,10.03906451599687
4,x,9,"['z', 'z', 'z', 'x']",0.01,m1,100000,100000,12,24,0,1.0,0.00012000000000000899,3.474183231999632,0.9431435039987264
4,x,9,"['z', 'z', 'z', 'x']",0.005,m1,100000,100000,0,1,0,1.0,0.0,2.082082535001973,0.573253061997093
4,x,10,"['x', 'x', 'x', 'z']",0.01,m1,100000,35431,364,693,0,0.35431,0.010273489317264572,37.97244568300084,13.916533772997354
4,x,10,"['x', 'x', 'x', 'z']",0.005,m1,100000,59019,158,309,0,0.59019,0.0026771039834629917,50.982201284998155,8.851226672002667
4,x,11,"['z', 'x', 'x', 'z']",0.01,m1,100000,52377,838,1573,0,0.52377,0.015999389044809798,41.64053714900001,-18.350285174998135
