n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,5,0.005,normal,anqi,126000000,0.730903126984127,7.851835994035806e-05,0.0004496767369411,1.2976452542921408e-05,126,7.531492448917262e-07,4.31330576861073e-06,0.7308936428571429,7.863451159552464e-05,0.0004503419405613,2,0,32,32,32,1.0,0.0,92093794,1195.0,0,0,0,0,34453.86165997974,"['z', 'z', 'x', 'x']"
4,x,5,0.005,normal,val,3000000,0.7307343333333334,0.0007848834078454,0.0006936009900031,1.2546994008079404e-05,3,4.552645697093322e-06,4.023170232768093e-06,0.7307251666666666,0.0007881849319657,0.0006965185448596,2,0,32,32,32,1.0,0.0,2192203,2.0,51,0,0,0,806.8710021720617,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m1,anqi,125000000,0.652773792,8.496654524535332e-05,0.0004846708443416,6.3358491743063645e-06,125,5.576226509268277e-07,3.1808218195561806e-06,0.652769656,8.493734076146374e-05,0.000484504254517,2,0,24,24,16,1.0,0.0,81596724,517.0,0,0,0,0,9358.911616769212,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m1,val,2000000,0.6525295,0.0004478599999999,0.0003231477990022,8.964844699670834e-05,2,1.4956948377855784e-05,1.07919996161622e-05,0.652471,0.00043806,0.0003160767311904,2,0,24,24,16,1.0,0.0,1305059,6.0,222,0,0,0,142.81476612202823,"['z', 'z', 'x', 'x']"
4,x,5,0.01,normal,anqi,127000000,0.547150125984252,9.675510297175207e-05,0.0005563135890833,0.0002172738568288,127,3.163376234909415e-06,1.818848962805849e-05,0.5470312440944881,9.666797000675516e-05,0.0005558125999779,2,0,32,32,32,1.0,0.0,69488066,15098.0,0,0,0,0,54269.801806010655,"['z', 'z', 'x', 'x']"
4,x,5,0.01,normal,val,3000000,0.5474436666666667,0.0014249372244106,0.0012592161583037,0.000234717164533,3,9.371959995059214e-06,8.281995345890572e-06,0.5473151666666666,0.0014204989101173,0.0012552940226629,2,0,32,32,32,1.0,0.0,1642331,39.0,693,0,0,0,1368.7145737699466,"['z', 'z', 'x', 'x']"
4,x,5,0.05,m1,anqi,2000000,0.1843205,5.977999999997818e-05,4.313351365236366e-05,0.0099880050965222,2,0.0003795720880495,0.0002738755075601,0.1824795,1.077999999999718e-05,7.77817459304999e-06,2,0,24,24,16,1.0,0.0,368641,3682.0,0,0,0,0,798.5397104070289,"['z', 'z', 'x', 'x']"
4,x,5,0.05,m1,val,2000000,0.1843205,5.977999999997818e-05,4.313351365236366e-05,0.038677162822238,2,0.0003862179150256,0.0002786707211534,0.1771915,1.372000000001372e-05,9.899494936621565e-06,2,0,24,24,16,1.0,0.0,368641,3682.0,21152,0,0,0,702.5380814290256,"['z', 'z', 'x', 'x']"
4,x,5,0.05,normal,anqi,3000000,0.122075,0.0004136312102989,0.0003655256488948,0.0776543763758099,3,0.0002462806984917,0.0002176381034241,0.1125953333333333,0.0003777504180157,0.0003338178145835,2,0,32,32,32,1.0,0.0,366225,28439.0,0,0,0,0,1682.167911463941,"['z', 'z', 'x', 'x']"
4,x,5,0.05,normal,val,3000000,0.122075,0.0004136312102989,0.0003655256488948,0.0776555339111162,3,0.0009371839172746,0.0008281888575286,0.112595,0.0002681788100005,0.000236989451242,2,0,32,32,32,1.0,0.0,366225,10346.0,36188,0,0,0,1710.954074993031,"['z', 'z', 'x', 'x']"
