n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,4,0.0001,m1,7900000,0.9879777215189873,8.56602976392531e-05,0.0003884517241136741,5.765380974300369e-07,79,3.5683262746873035e-07,1.6181621262161339e-06,0.9879771518987343,8.565336254890626e-05,0.000388420274914029,0,2,56,-6,48,7805024,0.0,9,0,0,0.0,2204.0325533601426
4,x,4,0.0001,m1,105000000,0.9880403090909091,1.742197272089421e-05,2.9480687052557783e-05,1.9782063310601528e-07,11,6.613934558892429e-08,1.1191805775413743e-07,0.9880401136363637,1.7426754340846754e-05,2.948877829708465e-05,0,2,56,40,48,103744082,0.0,42,0,0,15.352423401083795,419.25769095495343
4,x,4,0.0001,normal,7900000,0.985033417721519,7.939160986293955e-05,0.000360024522227284,2.570485659753829e-07,79,2.470157220423588e-07,1.1201651845133022e-06,0.9850331645569621,7.94145034767641e-05,0.00036012834002860416,0,2,64,0,64,7781764,0.0,4,0,0,0.0,4262.070895066936
4,x,4,0.0001,normal,7900000,0.985033417721519,7.939160986293955e-05,0.000360024522227284,2.570485659753829e-07,79,2.470157220423588e-07,1.1201651845133022e-06,0.9850331645569621,7.94145034767641e-05,0.00036012834002860416,0,2,64,2,64,7781764,0.0,4,0,0,0.0,4262.070895066936
4,x,4,0.0001,normal,105000000,0.9850386181818181,2.6612897796912675e-05,4.503316151858938e-05,2.3533955276541564e-07,11,5.5754548530213575e-08,9.434536623998957e-08,0.9850383863636364,2.661815237257458e-05,4.5042053077723606e-05,0,2,64,48,64,103428653,0.0,49,0,0,523.3268667091615,9956.531956512015
4,x,4,0.0005,m1,7900000,0.9415718987341772,0.00016566063884582784,0.0007512367170196025,1.5191606538013502e-05,79,2.0689515602685277e-06,9.382267197793421e-06,0.9415575949367089,0.0001657232446070787,0.0007515206211918687,0,2,56,-8,48,7438418,0.0,226,0,0,0.0,2351.1611547431676
4,x,4,0.0005,m1,7900000,0.9415718987341772,0.00016566063884582784,0.0007512367170196025,1.5191606538013502e-05,79,2.0689515602685277e-06,9.382267197793421e-06,0.9415575949367089,0.0001657232446070787,0.0007515206211918687,0,2,56,-6,48,7438418,0.0,226,0,0,0.0,2351.1611547431676
4,x,4,0.0005,m1,105000000,0.9415343545454546,3.426432842621479e-05,5.798057198125673e-05,5.098071687291667e-06,11,4.0047885805206535e-07,6.776725044023985e-07,0.9415295545454545,3.436777819080096e-05,5.815562506992148e-05,0,2,56,40,48,98860944,0.0,1021,0,0,44.68321815924719,1024.8647235068493
4,x,4,0.0005,normal,7900000,0.9274054430379747,0.00018746385554504607,0.0008501097930122114,1.4603829524184115e-05,79,1.83698385325331e-06,8.330341647543342e-06,0.9273918987341772,0.00018731481790050305,0.0008494339381345599,0,2,64,0,64,7326503,2.0,210,0,0,0.0,3977.9908910230297
4,x,4,0.0005,normal,7900000,0.9274054430379747,0.00018746385554504607,0.0008501097930122114,1.4603829524184115e-05,79,1.83698385325331e-06,8.330341647543342e-06,0.9273918987341772,0.00018731481790050305,0.0008494339381345599,0,2,64,2,64,7326503,2.0,210,0,0,0.0,3977.9908910230297
